participant_id,response_id,scenario,topic,shown_code_1,shown_code_2,shown_type_1,shown_type_2,pair,preferred_code,preferred_type,preferred_type_name,no_clear_preference
P001,R_2siP2AR4k5kxlQd,H1,Headache,H1A,H1B,A,B,A|B,H1A,A,Rule-based decision path,False
P002,R_8txlseIZpRyf8eF,H1,Headache,H1A,H1D,A,D,A|D,H1D,D,LLM natural-language explanation,False
P004,R_2QsZYZ5xhhmtprB,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P005,R_2mk0Otms6W3G7m6,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P006,R_2z7P4z2c1fY25eU,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P007,R_8eXG1jT9WHRNk6g,H1,Headache,H1A,H1C,A,C,A|C,H1C,C,Counterfactual explanation,False
P008,R_8CZZj2bH16ds3Gk,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P011,R_8gxhawknMc9x5oB,H1,Headache,H1B,H1D,B,D,B|D,H1B,B,Local feature-attribution / key-factor explanation,False
P012,R_8kHr5DLgYiobzXY,H1,Headache,H1A,H1D,A,D,A|D,H1A,A,Rule-based decision path,False
P013,R_8dtu7pifvNrExGt,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P015,R_2hyaVao3MYVnU6V,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P016,R_82Wg73Egv47VMfa,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P017,R_28IjKGpZ0JV8Bd7,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P019,R_8oSGgsahbAT7s0T,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P023,R_2FquOcvznAFp1ND,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P025,R_8OHDD9l9hNnRn3F,H1,Headache,H1A,H1C,A,C,A|C,H1A,A,Rule-based decision path,False
P030,R_81YN18e9BJFiEKu,H1,Headache,H1A,H1D,A,D,A|D,H1A,A,Rule-based decision path,False
