participant_id,response_id,age,gender,scenario,topic,explanation_code,explanation_type,explanation_type_name,construct,rating
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P002,R_8txlseIZpRyf8eF,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,1.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,5.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P012,R_8kHr5DLgYiobzXY,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P030,R_81YN18e9BJFiEKu,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P031,R_8ieNZXGBztLmYKu,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,5.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1A,A,Rule-based decision path,trust,7.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,6.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,1.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,trust,4.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P002,R_8txlseIZpRyf8eF,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,1.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,4.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P012,R_8kHr5DLgYiobzXY,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P030,R_81YN18e9BJFiEKu,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P031,R_8ieNZXGBztLmYKu,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,5.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1A,A,Rule-based decision path,satisfaction,7.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,6.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,1.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,satisfaction,2.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,5.0
P002,R_8txlseIZpRyf8eF,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,1.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,5.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,5.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,5.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P012,R_8kHr5DLgYiobzXY,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P030,R_81YN18e9BJFiEKu,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P031,R_8ieNZXGBztLmYKu,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,6.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P054,R_8jUwtXkghMAko4Z,50-60,Woman,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P056,R_8raIXWlKLqKNVMR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,7.0
P061,R_2KGVjxNJbUxmmwN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,1.0
P063,R_2pXrXB3B3nykjrP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,usability_understandability,2.0
P001,R_2siP2AR4k5kxlQd,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P002,R_8txlseIZpRyf8eF,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,2.0
P004,R_2QsZYZ5xhhmtprB,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P005,R_2mk0Otms6W3G7m6,50-60,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P006,R_2z7P4z2c1fY25eU,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P007,R_8eXG1jT9WHRNk6g,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,5.0
P008,R_8CZZj2bH16ds3Gk,60+,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P012,R_8kHr5DLgYiobzXY,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P013,R_8dtu7pifvNrExGt,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P015,R_2hyaVao3MYVnU6V,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P016,R_82Wg73Egv47VMfa,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P017,R_28IjKGpZ0JV8Bd7,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P019,R_8oSGgsahbAT7s0T,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P023,R_2FquOcvznAFp1ND,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P025,R_8OHDD9l9hNnRn3F,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P030,R_81YN18e9BJFiEKu,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
P031,R_8ieNZXGBztLmYKu,35-45,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P032,R_2jHdIVqxp0LxPTz,25-35,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P033,R_8Ev4OYXrNqG40Ig,25-35,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P034,R_8fcTUmtbd7RWvR6,18-25,Woman,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P045,R_2AuWuLj6hrD3vbP,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,3.0
P051,R_83jcdRgKC1yerGN,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,5.0
P052,R_8hng6Y9RSLYM1uE,50-60,,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,7.0
P053,R_2dd6WbDazlsp6GR,18-25,Man,H1,Headache,H1A,A,Rule-based decision path,perceived_effectiveness,6.0
