explanation_type,construct,mean_rating,sd,n,sem,ci95_low,ci95_high,explanation_type_name
A,perceived_effectiveness,6.277207392197125,1.1755193249102405,487,0.05326786525345291,6.172802376300358,6.3816124080938925,Rule-based decision path
A,satisfaction,6.299794661190965,1.1778389043066069,487,0.053372975429110604,6.195183629349908,6.404405693032023,Rule-based decision path
A,trust,6.338809034907597,1.0972248094111512,487,0.049720002097729525,6.241357830796047,6.4362602390191475,Rule-based decision path
A,usability_understandability,6.295687885010267,1.0238121135968143,487,0.046393355307954784,6.204756908606676,6.386618861413858,Rule-based decision path
B,perceived_effectiveness,4.856540084388186,1.3168646902984182,474,0.06048559846296903,4.737988311400767,4.975091857375605,Local feature-attribution / key-factor explanation
B,satisfaction,4.295983086680761,1.1972446897651958,473,0.055049369485033195,4.188086322490096,4.403879850871426,Local feature-attribution / key-factor explanation
B,trust,4.391120507399577,1.1955449666268778,473,0.0549712161318687,4.283376923781114,4.49886409101804,Local feature-attribution / key-factor explanation
B,usability_understandability,4.678646934460888,1.2963069561862641,473,0.059604257347854024,4.561822590059094,4.795471278862681,Local feature-attribution / key-factor explanation
C,perceived_effectiveness,4.506465517241379,1.3485297997592076,464,0.06260392430202953,4.383761825609401,4.629169208873357,Counterfactual explanation
C,satisfaction,4.146551724137931,1.197580789249259,464,0.05559629241349546,4.037582991007479,4.255520457268382,Counterfactual explanation
C,trust,4.142548596112311,1.2384459895181759,463,0.05755546613837212,4.029739882481102,4.255357309743521,Counterfactual explanation
C,usability_understandability,4.313174946004319,1.3073134548866416,463,0.06075600867684192,4.194093168997709,4.43225672301093,Counterfactual explanation
D,perceived_effectiveness,3.5771670190274842,1.7304803657360828,473,0.07956757198788143,3.4212145779312366,3.733119460123732,LLM natural-language explanation
D,satisfaction,3.287526427061311,1.6279447932377171,473,0.07485298134147902,3.140814583632012,3.43423827049061,LLM natural-language explanation
D,trust,3.1987315010570825,1.6151554727210213,473,0.07426492775760873,3.0531722426521695,3.3442907594619955,LLM natural-language explanation
D,usability_understandability,3.332627118644068,1.7220793869053828,472,0.07926512867955009,3.17726746643215,3.487986770855986,LLM natural-language explanation
E,perceived_effectiveness,6.008565310492505,1.0542838616113503,467,0.048786438879378675,5.912943890288923,6.104186730696088,Doctor-written-style explanation
E,satisfaction,5.980728051391863,1.0510842067009842,467,0.04863837650794002,5.8853968334363005,6.076059269347426,Doctor-written-style explanation
E,trust,6.119914346895075,1.0225827737295836,467,0.04731948747979085,6.027168151434685,6.212660542355465,Doctor-written-style explanation
E,usability_understandability,5.918629550321199,1.0326306284596927,467,0.04778444674598898,5.824972034699061,6.012287065943338,Doctor-written-style explanation
