participant_id,explanation_type,construct,mean_rating,n_ratings,explanation_type_name
P001,A,perceived_effectiveness,5.875,8,Rule-based decision path
P001,A,satisfaction,5.125,8,Rule-based decision path
P001,A,trust,5.125,8,Rule-based decision path
P001,A,usability_understandability,5.125,8,Rule-based decision path
P001,B,perceived_effectiveness,5.0,7,Local feature-attribution / key-factor explanation
P001,B,satisfaction,4.428571428571429,7,Local feature-attribution / key-factor explanation
P001,B,trust,4.857142857142857,7,Local feature-attribution / key-factor explanation
P001,B,usability_understandability,4.571428571428571,7,Local feature-attribution / key-factor explanation
P001,C,perceived_effectiveness,6.0,7,Counterfactual explanation
P001,C,satisfaction,5.285714285714286,7,Counterfactual explanation
P001,C,trust,5.571428571428571,7,Counterfactual explanation
P001,C,usability_understandability,4.857142857142857,7,Counterfactual explanation
P001,D,perceived_effectiveness,6.375,8,LLM natural-language explanation
P001,D,satisfaction,5.875,8,LLM natural-language explanation
P001,D,trust,5.625,8,LLM natural-language explanation
P001,D,usability_understandability,6.125,8,LLM natural-language explanation
P001,E,perceived_effectiveness,6.5,10,Doctor-written-style explanation
P001,E,satisfaction,5.9,10,Doctor-written-style explanation
P001,E,trust,5.7,10,Doctor-written-style explanation
P001,E,usability_understandability,6.2,10,Doctor-written-style explanation
P002,A,perceived_effectiveness,3.5555555555555554,9,Rule-based decision path
P002,A,satisfaction,3.6666666666666665,9,Rule-based decision path
P002,A,trust,3.6666666666666665,9,Rule-based decision path
P002,A,usability_understandability,4.0,9,Rule-based decision path
P002,B,perceived_effectiveness,5.125,8,Local feature-attribution / key-factor explanation
P002,B,satisfaction,5.0,8,Local feature-attribution / key-factor explanation
P002,B,trust,5.0,8,Local feature-attribution / key-factor explanation
P002,B,usability_understandability,5.875,8,Local feature-attribution / key-factor explanation
P002,C,perceived_effectiveness,2.6666666666666665,6,Counterfactual explanation
P002,C,satisfaction,3.3333333333333335,6,Counterfactual explanation
P002,C,trust,3.0,6,Counterfactual explanation
P002,C,usability_understandability,3.0,6,Counterfactual explanation
P002,D,perceived_effectiveness,4.142857142857143,7,LLM natural-language explanation
P002,D,satisfaction,5.285714285714286,7,LLM natural-language explanation
P002,D,trust,5.285714285714286,7,LLM natural-language explanation
P002,D,usability_understandability,5.0,6,LLM natural-language explanation
P002,E,perceived_effectiveness,5.333333333333333,6,Doctor-written-style explanation
P002,E,satisfaction,5.666666666666667,6,Doctor-written-style explanation
