scenario,topic,explanation_type,mean_rating,sd,n,sem,ci95_low,ci95_high,explanation_type_name
B1,Belly/stomach pain,A,6.363636363636363,0.9432178742805125,132,0.08209657830513385,6.202727070158301,6.524545657114426,Rule-based decision path
B1,Belly/stomach pain,B,4.361111111111111,1.268357267779926,36,0.21139287796332099,3.9467810703030017,4.77544115191922,Local feature-attribution / key-factor explanation
B1,Belly/stomach pain,C,3.9518072289156625,1.2869287930898474,83,0.14125878663293243,3.674940007115115,4.22867445071621,Counterfactual explanation
B1,Belly/stomach pain,D,3.8461538461538463,1.4603869401918645,52,0.20251923057229732,3.4492161542321433,4.243091538075549,LLM natural-language explanation
B1,Belly/stomach pain,E,6.0625,0.8764680271017565,80,0.09799210443523278,5.870435475306944,6.254564524693056,Doctor-written-style explanation
B2,Belly/stomach pain,A,5.982142857142857,1.3278974690508634,56,0.17744776335544943,5.634345240966176,6.329940473319538,Rule-based decision path
B2,Belly/stomach pain,B,4.598214285714286,1.2976751313255355,112,0.12261877428715894,4.357881488111454,4.838547083317117,Local feature-attribution / key-factor explanation
B2,Belly/stomach pain,C,4.8125,1.4763429844026545,80,0.16506016356146236,4.488982079419534,5.136017920580466,Counterfactual explanation
B2,Belly/stomach pain,D,2.9326923076923075,1.7138183286537625,104,0.168053713472279,2.6033070292866407,3.2620775860979743,LLM natural-language explanation
B2,Belly/stomach pain,E,5.958333333333333,1.2875563748588703,48,0.18584275490539687,5.5940815337187555,6.322585132947911,Doctor-written-style explanation
B3,Belly/stomach pain,A,6.286764705882353,1.0103764478890043,136,0.08663906563713902,6.116952137233561,6.456577274531146,Rule-based decision path
B3,Belly/stomach pain,B,4.375,1.5246206364556343,48,0.22006003371742977,3.943682333913838,4.806317666086162,Local feature-attribution / key-factor explanation
B3,Belly/stomach pain,C,4.464285714285714,1.3479180675705467,56,0.18012312836754973,4.111244382685317,4.8173270458861115,Counterfactual explanation
B3,Belly/stomach pain,D,3.659090909090909,1.6130742254030408,44,0.2431800893025027,3.1824579340580037,4.135723884123815,LLM natural-language explanation
B3,Belly/stomach pain,E,5.726190476190476,1.3020020772121796,84,0.14206007318606076,5.447752732745797,6.004628219635156,Doctor-written-style explanation
B4,Belly/stomach pain,A,6.5,0.9780192938436513,24,0.19963735237617258,6.108710789342702,6.891289210657298,Rule-based decision path
B4,Belly/stomach pain,B,4.966666666666667,1.2482756468006095,60,0.16115169305116842,4.650809348286376,5.282523985046957,Local feature-attribution / key-factor explanation
B4,Belly/stomach pain,C,4.076086956521739,1.416028307690085,92,0.14763115643311464,3.7867298899128343,4.365444023130644,Counterfactual explanation
B4,Belly/stomach pain,D,2.7604166666666665,1.526914961039289,96,0.15584010563199643,2.4549700596279536,3.0658632737053795,LLM natural-language explanation
B4,Belly/stomach pain,E,5.988636363636363,1.088015362698103,88,0.11598282736657244,5.761310021997882,6.215962705274845,Doctor-written-style explanation
B5,Belly/stomach pain,A,6.25,0.7939992333804208,24,0.1620744148285873,5.932334146935969,6.567665853064031,Rule-based decision path
B5,Belly/stomach pain,B,4.548387096774194,1.21878814068101,124,0.10945040605683211,4.333864300902803,4.762909892645585,Local feature-attribution / key-factor explanation
B5,Belly/stomach pain,C,4.605263157894737,1.200876872605137,76,0.1377500245084463,4.335273109858182,4.875253205931292,Counterfactual explanation
B5,Belly/stomach pain,D,3.9558823529411766,1.6247509432967366,68,0.1970299927804228,3.569703567091548,4.342061138790806,LLM natural-language explanation
B5,Belly/stomach pain,E,6.065789473684211,1.1585683845826218,76,0.1328969080941267,5.805311533819722,6.326267413548699,Doctor-written-style explanation
C1,Cold/cough/sore throat,A,6.4140625,0.9351183659129554,128,0.08265356721864174,6.252061508251463,6.576063491748537,Rule-based decision path
C1,Cold/cough/sore throat,B,4.296875,1.5602165854940762,64,0.19502707318675952,3.914621936553951,4.679128063446049,Local feature-attribution / key-factor explanation
