participant_id,explanation_type,mean_rating,n_ratings,explanation_type_name
P001,A,5.3125,32,Rule-based decision path
P001,B,4.714285714285714,28,Local feature-attribution / key-factor explanation
P001,C,5.428571428571429,28,Counterfactual explanation
P001,D,6.0,32,LLM natural-language explanation
P001,E,6.075,40,Doctor-written-style explanation
P002,A,3.7222222222222223,36,Rule-based decision path
P002,B,5.25,32,Local feature-attribution / key-factor explanation
P002,C,3.0,24,Counterfactual explanation
P002,D,4.925925925925926,27,LLM natural-language explanation
P002,E,5.5,24,Doctor-written-style explanation
P004,A,6.59375,32,Rule-based decision path
P004,B,6.15625,32,Local feature-attribution / key-factor explanation
P004,C,4.9375,32,Counterfactual explanation
P004,D,4.0,32,LLM natural-language explanation
P004,E,6.125,32,Doctor-written-style explanation
P005,A,6.785714285714286,28,Rule-based decision path
P005,B,5.625,32,Local feature-attribution / key-factor explanation
P005,C,4.516129032258065,31,Counterfactual explanation
P005,D,4.1875,32,LLM natural-language explanation
P005,E,6.071428571428571,28,Doctor-written-style explanation
P006,A,6.71875,32,Rule-based decision path
P006,B,5.285714285714286,28,Local feature-attribution / key-factor explanation
P006,C,4.71875,32,Counterfactual explanation
P006,D,3.4285714285714284,28,LLM natural-language explanation
P006,E,6.40625,32,Doctor-written-style explanation
P007,A,5.142857142857143,28,Rule-based decision path
P007,B,4.321428571428571,28,Local feature-attribution / key-factor explanation
P007,C,4.78125,32,Counterfactual explanation
P007,D,4.857142857142857,28,LLM natural-language explanation
P007,E,4.8125,32,Doctor-written-style explanation
P008,A,6.875,32,Rule-based decision path
P008,B,5.15625,32,Local feature-attribution / key-factor explanation
P008,C,4.34375,32,Counterfactual explanation
P008,D,3.0,32,LLM natural-language explanation
P008,E,6.375,32,Doctor-written-style explanation
P009,A,6.96875,32,Rule-based decision path
P009,B,4.78125,32,Local feature-attribution / key-factor explanation
P009,C,3.53125,32,Counterfactual explanation
P009,D,3.0357142857142856,28,LLM natural-language explanation
P009,E,6.46875,32,Doctor-written-style explanation
P010,A,6.96875,32,Rule-based decision path
P010,B,4.875,32,Local feature-attribution / key-factor explanation
P010,C,3.53125,32,Counterfactual explanation
P010,D,2.71875,32,LLM natural-language explanation
P010,E,6.5,32,Doctor-written-style explanation
P011,A,6.84375,32,Rule-based decision path
P011,B,4.71875,32,Local feature-attribution / key-factor explanation
P011,C,4.4375,32,Counterfactual explanation
P011,D,3.03125,32,LLM natural-language explanation
P011,E,6.4375,32,Doctor-written-style explanation
P012,A,6.8125,32,Rule-based decision path
P012,B,4.40625,32,Local feature-attribution / key-factor explanation
P012,C,3.78125,32,Counterfactual explanation
P012,D,3.375,32,LLM natural-language explanation
P012,E,6.5,32,Doctor-written-style explanation
P013,A,6.75,32,Rule-based decision path
P013,B,4.8125,32,Local feature-attribution / key-factor explanation
P013,C,4.305555555555555,36,Counterfactual explanation
P013,D,3.8333333333333335,24,LLM natural-language explanation
P013,E,6.4375,32,Doctor-written-style explanation
P014,A,6.861111111111111,36,Rule-based decision path
P014,B,5.142857142857143,28,Local feature-attribution / key-factor explanation
P014,C,4.65625,32,Counterfactual explanation
P014,D,3.5,36,LLM natural-language explanation
P014,E,6.464285714285714,28,Doctor-written-style explanation
P015,A,6.75,32,Rule-based decision path
P015,B,4.21875,32,Local feature-attribution / key-factor explanation
P015,C,4.40625,32,Counterfactual explanation
P015,D,3.0,32,LLM natural-language explanation
P015,E,6.5,32,Doctor-written-style explanation
P016,A,6.821428571428571,28,Rule-based decision path
P016,B,4.53125,32,Local feature-attribution / key-factor explanation
P016,C,4.34375,32,Counterfactual explanation
P016,D,2.78125,32,LLM natural-language explanation
P016,E,6.40625,32,Doctor-written-style explanation
P017,A,6.75,32,Rule-based decision path
P017,B,4.78125,32,Local feature-attribution / key-factor explanation
P017,C,4.3125,32,Counterfactual explanation
P017,D,2.5625,32,LLM natural-language explanation
P017,E,6.34375,32,Doctor-written-style explanation
P018,A,6.8125,32,Rule-based decision path
P018,B,4.28125,32,Local feature-attribution / key-factor explanation
P018,C,4.3125,32,Counterfactual explanation
P018,D,3.1875,32,LLM natural-language explanation
P018,E,6.40625,32,Doctor-written-style explanation
P019,A,6.785714285714286,28,Rule-based decision path
P019,B,4.9375,32,Local feature-attribution / key-factor explanation
P019,C,4.3125,32,Counterfactual explanation
P019,D,2.5,32,LLM natural-language explanation
P019,E,6.28125,32,Doctor-written-style explanation
